,id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,total_score
510,511,Sandra,Prince,sandra.prince.511@gslingacademy.com,female,False,0,False,29,Lawyer,70,94,67,74,84,95,65,549
511,512,Dawn,Poole,dawn.poole.512@gslingacademy.com,female,False,2,False,13,Unknown,60,75,70,96,63,82,80,526
512,513,Emily,Jordan,emily.jordan.513@gslingacademy.com,female,False,3,False,49,Doctor,85,96,99,94,95,92,95,656
513,514,John,Owen,john.owen.514@gslingacademy.com,male,False,6,False,34,Lawyer,82,85,72,69,63,99,68,538
514,515,Andrew,Best,andrew.best.515@gslingacademy.com,male,True,4,False,28,Construction Engineer,83,79,92,69,85,71,95,574
515,516,Holly,Burns,holly.burns.516@gslingacademy.com,female,False,2,False,44,Doctor,96,88,100,95,85,94,93,651
516,517,Alicia,Rodriguez,alicia.rodriguez.517@gslingacademy.com,female,False,1,False,14,Software Engineer,85,87,78,72,91,88,93,594
517,518,Erin,Ray,erin.ray.518@gslingacademy.com,female,False,4,False,1,Real Estate Developer,95,61,84,98,63,66,80,547
518,519,Todd,Griffith,todd.griffith.519@gslingacademy.com,male,False,6,False,22,Software Engineer,97,92,87,61,75,62,94,568
519,520,Melinda,Payne,melinda.payne.520@gslingacademy.com,female,False,2,False,11,Teacher,95,69,91,97,89,84,66,591
520,521,Cynthia,Williams,cynthia.williams.521@gslingacademy.com,female,False,3,False,2,Unknown,69,98,77,63,88,64,60,519
521,522,Jenny,Washington,jenny.washington.522@gslingacademy.com,female,False,9,False,3,Business Owner,84,55,65,62,56,91,81,494
522,523,Angela,Joyce,angela.joyce.523@gslingacademy.com,female,False,5,False,28,Banker,92,100,100,98,83,75,72,620
523,524,William,Alvarado,william.alvarado.524@gslingacademy.com,male,True,2,False,0,Business Owner,87,95,78,82,53,59,66,520
524,525,Michael,Mercer,michael.mercer.525@gslingacademy.com,male,False,5,False,22,Banker,97,87,90,70,96,75,93,608
525,526,Erin,Miller,erin.miller.526@gslingacademy.com,female,True,8,False,3,Business Owner,92,96,77,95,63,57,90,570
526,527,Robert,Heath,robert.heath.527@gslingacademy.com,male,False,2,False,25,Unknown,72,91,68,79,98,71,89,568
527,528,Deborah,Rojas,deborah.rojas.528@gslingacademy.com,female,False,3,True,1,Business Owner,50,55,96,72,55,50,64,442
528,529,Diana,Jones,diana.jones.529@gslingacademy.com,female,False,7,False,37,Doctor,97,96,93,94,91,96,87,654
529,530,Meredith,Clark,meredith.clark.530@gslingacademy.com,female,False,3,True,28,Software Engineer,89,77,69,72,63,84,99,553
530,531,Christina,Garrett,christina.garrett.531@gslingacademy.com,female,False,3,False,30,Scientist,77,76,90,95,94,99,94,625
531,532,Daniel,Jackson,daniel.jackson.532@gslingacademy.com,male,False,1,False,19,Stock Investor,91,89,66,69,100,88,79,582
532,533,Bradley,Robinson,bradley.robinson.533@gslingacademy.com,male,True,7,False,2,Business Owner,64,92,70,81,85,55,76,523
533,534,Phyllis,Schneider,phyllis.schneider.534@gslingacademy.com,female,True,4,False,26,Unknown,71,87,63,73,89,77,66,526
534,535,Thomas,Clark,thomas.clark.535@gslingacademy.com,male,False,10,True,0,Business Owner,56,79,74,66,92,57,61,485
535,536,Gregory,Gonzalez,gregory.gonzalez.536@gslingacademy.com,male,False,4,False,5,Game Developer,87,70,98,64,65,78,83,545
536,537,Michelle,Roth,michelle.roth.537@gslingacademy.com,female,False,0,False,17,Software Engineer,99,69,85,91,77,88,75,584
537,538,Christopher,Murphy,christopher.murphy.538@gslingacademy.com,male,False,2,False,26,Lawyer,98,88,76,72,92,81,89,596
538,539,Mark,Davis,mark.davis.539@gslingacademy.com,male,False,2,False,32,Unknown,87,83,74,61,81,72,98,556
539,540,Lauren,Harrington,lauren.harrington.540@gslingacademy.com,female,False,6,True,16,Software Engineer,88,96,90,92,68,97,73,604
540,541,Michelle,Owens,michelle.owens.541@gslingacademy.com,female,True,8,False,2,Business Owner,71,52,53,64,89,76,70,475
541,542,Scott,Weaver,scott.weaver.542@gslingacademy.com,male,False,2,False,35,Construction Engineer,96,90,91,95,99,95,99,665
542,543,Monica,Williams,monica.williams.543@gslingacademy.com,female,False,0,False,17,Accountant,81,95,99,65,56,79,98,573
543,544,Kathryn,Hampton,kathryn.hampton.544@gslingacademy.com,female,False,9,False,3,Business Owner,94,92,63,84,79,66,96,574
544,545,Christina,Shields,christina.shields.545@gslingacademy.com,female,True,3,False,47,Doctor,94,87,98,90,92,88,100,649
545,546,Andrew,Thomas,andrew.thomas.546@gslingacademy.com,male,False,0,False,29,Lawyer,98,87,75,63,85,88,75,571
546,547,Holly,Sexton,holly.sexton.547@gslingacademy.com,female,False,10,False,5,Business Owner,100,58,54,97,58,51,80,498
547,548,Christopher,Peterson,christopher.peterson.548@gslingacademy.com,male,False,3,True,12,Designer,66,89,65,99,84,84,86,573
548,549,Eric,Murray,eric.murray.549@gslingacademy.com,male,False,2,False,35,Doctor,94,99,97,94,85,97,97,663
549,550,Kristina,Watson,kristina.watson.550@gslingacademy.com,female,True,0,False,3,Game Developer,83,90,93,89,64,63,82,564
550,551,Greg,Martin,greg.martin.551@gslingacademy.com,male,True,8,False,2,Business Owner,92,54,50,88,90,91,95,560
551,552,Paul,Shaffer,paul.shaffer.552@gslingacademy.com,male,False,10,False,35,Software Engineer,93,100,90,94,97,98,98,670
552,553,Alexander,Daniel,alexander.daniel.553@gslingacademy.com,male,True,1,False,7,Government Officer,69,92,84,98,98,83,87,611
553,554,Carla,Davis,carla.davis.554@gslingacademy.com,female,False,4,False,15,Software Engineer,94,71,63,73,66,90,91,548
554,555,Chelsea,Clark,chelsea.clark.555@gslingacademy.com,female,False,1,False,3,Stock Investor,100,92,95,90,67,81,66,591
555,556,Justin,Douglas,justin.douglas.556@gslingacademy.com,male,False,2,False,35,Unknown,96,92,98,100,94,93,86,659
556,557,Charles,Reid,charles.reid.557@gslingacademy.com,male,False,3,True,28,Lawyer,76,87,99,69,89,93,85,598
557,558,Courtney,Moreno,courtney.moreno.558@gslingacademy.com,female,False,9,False,4,Business Owner,77,62,94,65,77,77,95,547
558,559,Justin,Mitchell,justin.mitchell.559@gslingacademy.com,male,False,1,True,4,Artist,84,67,79,60,69,80,98,537
559,560,Bruce,Woods,bruce.woods.560@gslingacademy.com,male,False,3,True,16,Software Engineer,95,61,68,75,64,76,66,505
560,561,Christopher,Hines,christopher.hines.561@gslingacademy.com,male,False,1,False,26,Accountant,90,64,94,84,66,61,72,531
561,562,Theodore,Williams,theodore.williams.562@gslingacademy.com,male,False,3,False,30,Unknown,96,89,73,75,99,89,71,592
562,563,Jennifer,Valdez,jennifer.valdez.563@gslingacademy.com,female,True,6,False,2,Business Owner,80,81,92,73,71,71,84,552
563,564,Alexandra,Day,alexandra.day.564@gslingacademy.com,female,False,2,False,34,Software Engineer,87,83,75,73,92,91,71,572
564,565,John,Pacheco,john.pacheco.565@gslingacademy.com,male,False,10,False,0,Business Owner,94,75,91,64,67,93,65,549
565,566,Sherry,Brown,sherry.brown.566@gslingacademy.com,female,False,10,True,3,Artist,87,82,88,100,73,96,75,601
566,567,Douglas,Clark,douglas.clark.567@gslingacademy.com,male,False,2,False,30,Software Engineer,95,97,88,77,96,96,74,623
567,568,Alex,Farmer,alex.farmer.568@gslingacademy.com,male,True,3,True,15,Construction Engineer,85,96,82,64,82,94,81,584
568,569,Brandon,Gonzales,brandon.gonzales.569@gslingacademy.com,male,False,8,True,1,Business Owner,67,65,77,72,94,88,77,540
569,570,Wayne,Trevino,wayne.trevino.570@gslingacademy.com,male,False,3,True,6,Government Officer,84,100,92,82,85,70,69,582
570,571,Pamela,Horne,pamela.horne.571@gslingacademy.com,female,False,7,True,1,Game Developer,83,88,90,100,71,98,96,626
571,572,Michael,Schaefer,michael.schaefer.572@gslingacademy.com,male,True,9,True,5,Business Owner,67,78,68,51,77,72,78,491
572,573,Carlos,Ramirez,carlos.ramirez.573@gslingacademy.com,male,False,1,False,30,Banker,75,92,72,88,92,77,84,580
573,574,Antonio,Lucero,antonio.lucero.574@gslingacademy.com,male,False,3,True,8,Government Officer,67,76,70,73,81,85,80,532
574,575,Terry,Ashley,terry.ashley.575@gslingacademy.com,male,True,9,False,5,Business Owner,67,54,51,72,75,60,88,467
575,576,Rita,Cochran,rita.cochran.576@gslingacademy.com,female,False,1,False,5,Artist,72,91,78,97,86,93,77,594
576,577,Joseph,Gregory,joseph.gregory.577@gslingacademy.com,male,False,4,False,4,Government Officer,78,98,76,68,86,91,82,579
577,578,Alexandra,Robinson,alexandra.robinson.578@gslingacademy.com,female,False,1,False,47,Doctor,85,87,92,96,92,90,88,630
578,579,Tina,Sparks,tina.sparks.579@gslingacademy.com,female,False,3,True,16,Stock Investor,100,70,69,61,100,65,81,546
579,580,Christopher,Buchanan,christopher.buchanan.580@gslingacademy.com,male,True,5,False,3,Business Owner,56,59,89,68,79,83,68,502
580,581,Christina,Guerrero,christina.guerrero.581@gslingacademy.com,female,False,5,True,32,Scientist,93,75,83,99,100,91,74,615
581,582,Jessica,Hutchinson,jessica.hutchinson.582@gslingacademy.com,female,False,2,False,31,Banker,89,91,85,69,76,92,94,596
582,583,Tyler,Carrillo,tyler.carrillo.583@gslingacademy.com,male,False,3,False,6,Real Estate Developer,59,88,74,92,72,97,64,546
583,584,Lindsay,Brady,lindsay.brady.584@gslingacademy.com,female,False,3,False,16,Unknown,99,70,74,65,99,74,62,543
584,585,Gary,Rivera,gary.rivera.585@gslingacademy.com,male,False,6,False,34,Lawyer,89,89,85,74,78,87,82,584
585,586,Luke,Moore,luke.moore.586@gslingacademy.com,male,False,3,False,26,Software Engineer,86,63,78,78,80,67,97,549
586,587,Tanya,Green,tanya.green.587@gslingacademy.com,female,False,6,False,21,Banker,79,65,91,65,61,88,95,544
587,588,Bryan,Lee,bryan.lee.588@gslingacademy.com,male,False,3,False,46,Doctor,96,89,91,90,90,91,99,646
588,589,Melanie,Bridges,melanie.bridges.589@gslingacademy.com,female,False,6,False,48,Doctor,95,90,85,90,96,89,96,641
589,590,Eric,Bowers,eric.bowers.590@gslingacademy.com,male,True,1,False,46,Doctor,96,85,90,95,100,96,88,650
590,591,Meredith,Reed,meredith.reed.591@gslingacademy.com,female,True,3,False,28,Unknown,95,80,64,97,85,94,60,575
591,592,David,Brown,david.brown.592@gslingacademy.com,male,True,4,False,2,Unknown,80,62,84,95,71,85,87,564
592,593,William,Johns,william.johns.593@gslingacademy.com,male,True,0,False,32,Stock Investor,86,70,73,85,67,91,98,570
593,594,Eric,Patton,eric.patton.594@gslingacademy.com,male,True,10,False,5,Business Owner,42,95,99,61,62,77,99,535
594,595,Wendy,Warner,wendy.warner.595@gslingacademy.com,female,False,4,False,31,Lawyer,80,93,93,94,81,81,78,600
595,596,Timothy,Powell,timothy.powell.596@gslingacademy.com,male,False,4,True,1,Artist,79,97,100,94,65,62,76,573
596,597,Victoria,Thompson,victoria.thompson.597@gslingacademy.com,female,True,9,True,4,Business Owner,43,63,91,67,74,71,88,497
597,598,Jeremy,Brown,jeremy.brown.598@gslingacademy.com,male,False,2,True,8,Real Estate Developer,58,84,95,66,99,91,70,563
598,599,Barbara,Schneider,barbara.schneider.599@gslingacademy.com,female,False,3,True,23,Accountant,86,73,83,93,46,91,70,542
599,600,Lindsay,Morales,lindsay.morales.600@gslingacademy.com,female,False,1,False,23,Doctor,96,91,97,84,89,82,75,614
600,601,Gary,Patel,gary.patel.601@gslingacademy.com,male,False,1,False,28,Lawyer,91,88,98,89,75,91,92,624
601,602,Michelle,Ortiz,michelle.ortiz.602@gslingacademy.com,female,False,1,False,7,Unknown,85,62,77,62,80,88,83,537
602,603,Susan,Lynch,susan.lynch.603@gslingacademy.com,female,False,0,False,5,Artist,87,91,93,92,97,95,99,654
603,604,Tammy,Hernandez,tammy.hernandez.604@gslingacademy.com,female,False,2,False,4,Unknown,60,91,85,67,98,61,64,526
604,605,Jennifer,Guerra,jennifer.guerra.605@gslingacademy.com,female,False,2,False,26,Unknown,76,85,67,60,100,63,64,515
605,606,Kelly,Schwartz,kelly.schwartz.606@gslingacademy.com,female,False,4,True,33,Lawyer,84,89,74,79,86,93,95,600
606,607,Brittany,Orozco,brittany.orozco.607@gslingacademy.com,female,False,4,True,34,Lawyer,87,94,74,84,77,82,85,583
607,608,Samantha,Alvarado,samantha.alvarado.608@gslingacademy.com,female,True,4,False,16,Accountant,82,79,64,75,93,82,60,535
608,609,Christopher,Anderson,christopher.anderson.609@gslingacademy.com,male,False,4,False,3,Business Owner,64,61,73,70,87,75,100,530
609,610,William,Smith,william.smith.610@gslingacademy.com,male,False,3,False,25,Lawyer,77,80,88,84,84,92,82,587
610,611,Courtney,Patterson,courtney.patterson.611@gslingacademy.com,female,False,0,False,4,Stock Investor,86,82,90,69,66,93,94,580
611,612,Kevin,Hess,kevin.hess.612@gslingacademy.com,male,False,0,False,4,Real Estate Developer,81,84,76,88,84,89,87,589
612,613,Melissa,Higgins,melissa.higgins.613@gslingacademy.com,female,False,3,False,21,Software Engineer,91,90,92,78,67,86,71,575
613,614,Elizabeth,Chavez,elizabeth.chavez.614@gslingacademy.com,female,False,7,False,4,Business Owner,72,99,61,67,95,98,89,581
614,615,Mary,Taylor,mary.taylor.615@gslingacademy.com,female,False,3,False,24,Writer,80,70,80,96,72,99,65,562
615,616,Joshua,Parker,joshua.parker.616@gslingacademy.com,male,False,2,False,16,Unknown,90,89,98,70,79,60,92,578
616,617,Joshua,Kelly,joshua.kelly.617@gslingacademy.com,male,False,10,False,2,Business Owner,72,51,52,98,50,90,63,476
617,618,Travis,Ross,travis.ross.618@gslingacademy.com,male,False,3,False,35,Software Engineer,93,85,89,93,90,91,88,629
618,619,Kenneth,Buchanan,kenneth.buchanan.619@gslingacademy.com,male,False,2,False,24,Doctor,95,85,90,94,91,84,85,624
619,620,Ryan,Clarke,ryan.clarke.620@gslingacademy.com,male,False,2,True,46,Doctor,86,93,89,90,100,86,93,637
620,621,Gina,Solomon,gina.solomon.621@gslingacademy.com,female,False,6,False,1,Business Owner,89,55,89,67,55,64,70,489
621,622,David,Madden,david.madden.622@gslingacademy.com,male,False,5,False,26,Unknown,90,75,67,85,64,95,96,572
622,623,William,Brennan,william.brennan.623@gslingacademy.com,male,False,1,False,5,Unknown,79,95,81,67,66,71,66,525
623,624,Judy,Mckenzie,judy.mckenzie.624@gslingacademy.com,female,True,5,False,17,Teacher,86,88,98,66,62,95,90,585
624,625,Logan,Lindsey,logan.lindsey.625@gslingacademy.com,male,False,3,False,4,Artist,83,78,68,72,77,89,70,537
625,626,Kyle,Williams,kyle.williams.626@gslingacademy.com,male,False,6,False,27,Lawyer,85,92,62,95,65,89,95,583
626,627,Mark,Padilla,mark.padilla.627@gslingacademy.com,male,False,3,False,0,Artist,66,78,86,87,64,65,64,510
627,628,Eugene,Clark,eugene.clark.628@gslingacademy.com,male,False,6,True,16,Accountant,93,80,60,62,43,68,67,473
628,629,Sean,Wagner,sean.wagner.629@gslingacademy.com,male,False,6,True,14,Unknown,65,89,79,95,71,61,62,522
629,630,Christine,Larson,christine.larson.630@gslingacademy.com,female,True,2,False,5,Real Estate Developer,52,66,98,83,92,82,91,564
630,631,Melinda,Freeman,melinda.freeman.631@gslingacademy.com,female,False,3,True,31,Banker,90,80,84,70,65,89,64,542
631,632,Elizabeth,Smith,elizabeth.smith.632@gslingacademy.com,female,False,2,True,4,Artist,83,89,99,100,73,86,88,618
632,633,Walter,King,walter.king.633@gslingacademy.com,male,False,1,False,5,Artist,62,89,72,68,85,80,75,531
633,634,Lisa,Bean,lisa.bean.634@gslingacademy.com,female,False,1,False,11,Writer,98,72,99,84,60,95,93,601
634,635,Douglas,Hayes,douglas.hayes.635@gslingacademy.com,male,False,8,True,12,Unknown,76,75,74,67,76,82,79,529
635,636,Heather,Jefferson,heather.jefferson.636@gslingacademy.com,female,False,0,False,5,Game Developer,97,62,98,70,67,71,70,535
636,637,Melinda,Byrd,melinda.byrd.637@gslingacademy.com,female,True,6,False,1,Business Owner,63,60,95,99,87,58,66,528
637,638,Alexander,Burnett,alexander.burnett.638@gslingacademy.com,male,False,5,False,2,Artist,98,99,64,88,72,87,99,607
638,639,Maria,Campos,maria.campos.639@gslingacademy.com,female,True,10,False,1,Business Owner,78,84,84,61,88,67,92,554
639,640,Lindsey,Anthony,lindsey.anthony.640@gslingacademy.com,female,False,2,True,30,Stock Investor,85,77,89,77,84,71,71,554
640,641,Darryl,Schultz,darryl.schultz.641@gslingacademy.com,male,False,6,False,0,Business Owner,59,100,84,93,70,56,74,536
641,642,Bethany,French,bethany.french.642@gslingacademy.com,female,False,2,True,6,Unknown,99,77,88,60,93,61,96,574
642,643,Tyler,Scott,tyler.scott.643@gslingacademy.com,male,False,6,True,24,Accountant,76,62,86,80,47,85,71,507
643,644,Patricia,Hall,patricia.hall.644@gslingacademy.com,female,False,7,False,26,Lawyer,80,90,85,89,85,80,68,577
644,645,Ryan,Williams,ryan.williams.645@gslingacademy.com,male,False,7,False,0,Business Owner,82,74,92,50,77,98,100,573
645,646,Levi,Mason,levi.mason.646@gslingacademy.com,male,False,1,False,18,Software Engineer,89,64,72,61,75,68,83,512
646,647,Michael,Vang,michael.vang.647@gslingacademy.com,male,False,4,False,20,Software Engineer,89,79,75,80,97,94,68,582
647,648,April,Humphrey,april.humphrey.648@gslingacademy.com,female,False,0,False,23,Software Engineer,86,89,94,95,60,90,90,604
648,649,Steven,Hancock,steven.hancock.649@gslingacademy.com,male,True,4,False,4,Business Owner,65,76,92,86,93,61,97,570
649,650,Chelsea,Olson,chelsea.olson.650@gslingacademy.com,female,False,4,False,30,Banker,77,95,77,84,60,90,89,572
650,651,Emily,Huang,emily.huang.651@gslingacademy.com,female,False,4,False,34,Banker,88,85,68,62,64,99,66,532
651,652,Rachel,Jones,rachel.jones.652@gslingacademy.com,female,False,1,False,26,Accountant,98,77,94,87,44,85,61,546
652,653,Philip,Walker,philip.walker.653@gslingacademy.com,male,False,5,False,27,Lawyer,84,86,90,80,72,99,85,596
653,654,Laura,Rivera,laura.rivera.654@gslingacademy.com,female,False,1,True,18,Software Engineer,91,85,66,83,70,71,80,546
654,655,Pamela,Henry,pamela.henry.655@gslingacademy.com,female,False,4,False,39,Doctor,97,95,94,90,86,85,95,642
655,656,Nicole,Davidson,nicole.davidson.656@gslingacademy.com,female,False,7,True,29,Banker,77,88,63,87,71,93,84,563
656,657,Jeffery,Parker,jeffery.parker.657@gslingacademy.com,male,False,0,True,27,Doctor,100,84,93,96,97,70,95,635
657,658,Christopher,Banks,christopher.banks.658@gslingacademy.com,male,True,3,True,17,Software Engineer,93,70,62,99,63,83,60,530
658,659,Tara,Griffin,tara.griffin.659@gslingacademy.com,female,True,5,True,31,Banker,93,99,79,78,64,87,76,576
659,660,Lisa,Lloyd,lisa.lloyd.660@gslingacademy.com,female,True,4,False,13,Banker,94,89,74,75,73,78,61,544
660,661,Elizabeth,Maldonado,elizabeth.maldonado.661@gslingacademy.com,female,False,4,True,12,Banker,88,86,79,93,68,92,99,605
661,662,Samuel,Anderson,samuel.anderson.662@gslingacademy.com,male,True,10,False,0,Business Owner,93,95,94,70,83,86,94,615
662,663,Xavier,Johnson,xavier.johnson.663@gslingacademy.com,male,False,2,True,21,Construction Engineer,83,75,84,68,95,80,88,573
663,664,Lauren,Cordova,lauren.cordova.664@gslingacademy.com,female,True,3,False,28,Lawyer,96,93,100,96,97,81,72,635
664,665,Amanda,Hawkins,amanda.hawkins.665@gslingacademy.com,female,True,8,False,35,Accountant,87,88,93,88,96,85,94,631
665,666,Donald,Coleman,donald.coleman.666@gslingacademy.com,male,False,9,True,24,Lawyer,95,82,84,69,63,85,69,547
666,667,Phillip,Bennett,phillip.bennett.667@gslingacademy.com,male,False,1,False,28,Accountant,87,87,86,84,66,83,81,574
667,668,John,George,john.george.668@gslingacademy.com,male,False,9,False,0,Business Owner,43,95,64,95,66,67,74,504
668,669,Katherine,Moore,katherine.moore.669@gslingacademy.com,female,True,6,False,0,Business Owner,40,100,88,79,71,86,89,553
669,670,Jose,Dominguez,jose.dominguez.670@gslingacademy.com,male,False,2,False,3,Real Estate Developer,64,70,98,82,100,72,78,564
670,671,Lauren,Morrow,lauren.morrow.671@gslingacademy.com,female,False,3,False,16,Unknown,72,79,95,68,75,70,88,547
671,672,Katie,Davenport,katie.davenport.672@gslingacademy.com,female,False,2,False,26,Lawyer,77,96,86,84,90,85,91,609
672,673,Michelle,Martinez,michelle.martinez.673@gslingacademy.com,female,True,10,True,4,Business Owner,40,86,53,63,50,87,77,456
673,674,Jeremiah,Stanley,jeremiah.stanley.674@gslingacademy.com,male,False,2,False,24,Construction Engineer,100,89,90,96,72,90,86,623
674,675,Isaac,Tucker,isaac.tucker.675@gslingacademy.com,male,False,5,True,22,Software Engineer,89,93,95,88,72,76,71,584
675,676,Hannah,Garcia,hannah.garcia.676@gslingacademy.com,female,True,2,False,14,Software Engineer,97,74,76,72,62,69,90,540
676,677,Thomas,Nelson,thomas.nelson.677@gslingacademy.com,male,False,2,False,21,Unknown,100,77,74,61,81,96,96,585
677,678,William,Kennedy,william.kennedy.678@gslingacademy.com,male,False,4,False,29,Lawyer,81,88,85,89,81,91,98,613
678,679,Jennifer,Williams,jennifer.williams.679@gslingacademy.com,female,False,6,False,3,Business Owner,100,91,53,78,55,91,74,542
679,680,Jeffrey,Price,jeffrey.price.680@gslingacademy.com,male,False,2,False,4,Designer,80,65,96,73,84,92,73,563
680,681,Zachary,Burns,zachary.burns.681@gslingacademy.com,male,False,5,False,19,Accountant,79,88,83,84,78,72,79,563
681,682,Curtis,Duffy,curtis.duffy.682@gslingacademy.com,male,False,3,False,33,Software Engineer,96,64,100,87,88,60,62,557
682,683,Allison,Alvarado,allison.alvarado.683@gslingacademy.com,female,False,1,False,24,Accountant,95,81,91,62,36,79,69,513
683,684,Jeffery,Kelley,jeffery.kelley.684@gslingacademy.com,male,False,4,False,29,Unknown,86,68,65,64,95,82,87,547
684,685,Kenneth,Clark,kenneth.clark.685@gslingacademy.com,male,False,1,True,27,Lawyer,86,97,72,90,95,99,76,615
685,686,Hayley,Case,hayley.case.686@gslingacademy.com,female,False,2,False,20,Unknown,87,68,66,83,92,81,80,557
686,687,Vanessa,Martinez,vanessa.martinez.687@gslingacademy.com,female,False,0,False,35,Accountant,94,87,100,90,86,86,90,633
687,688,Tara,Thomas,tara.thomas.688@gslingacademy.com,female,False,0,False,29,Doctor,88,71,87,85,100,78,78,587
688,689,Aaron,Williamson,aaron.williamson.689@gslingacademy.com,male,False,2,True,0,Artist,88,69,76,64,90,78,80,545
689,690,Phillip,Nelson,phillip.nelson.690@gslingacademy.com,male,False,3,False,10,Unknown,76,61,68,88,86,87,66,532
690,691,Michael,Hinton,michael.hinton.691@gslingacademy.com,male,False,1,True,29,Construction Engineer,84,66,99,80,71,88,89,577
691,692,Alex,Shelton,alex.shelton.692@gslingacademy.com,male,False,0,True,17,Software Engineer,96,77,91,85,69,91,91,600
692,693,Ross,Esparza,ross.esparza.693@gslingacademy.com,male,True,10,False,1,Business Owner,57,75,64,85,53,95,81,510
693,694,Lisa,Murphy,lisa.murphy.694@gslingacademy.com,female,False,1,False,14,Teacher,93,79,82,67,64,90,65,540
694,695,Richard,Gibson,richard.gibson.695@gslingacademy.com,male,False,1,False,24,Unknown,88,84,61,61,79,62,99,534
695,696,Jackson,Olson,jackson.olson.696@gslingacademy.com,male,False,2,False,35,Construction Engineer,89,99,86,97,98,97,93,659
696,697,Michael,Waters,michael.waters.697@gslingacademy.com,male,False,3,False,19,Construction Engineer,80,88,94,94,100,99,99,654
697,698,Daniel,Mcneil,daniel.mcneil.698@gslingacademy.com,male,False,6,False,23,Banker,94,92,61,87,61,94,69,558
698,699,James,Mcgee,james.mcgee.699@gslingacademy.com,male,False,9,False,14,Construction Engineer,99,74,98,69,69,64,96,569
699,700,Dennis,Park,dennis.park.700@gslingacademy.com,male,False,2,False,21,Banker,81,72,87,62,69,93,72,536
700,701,Gregory,Jones,gregory.jones.701@gslingacademy.com,male,False,6,False,18,Unknown,91,61,95,82,77,87,95,588
701,702,Barbara,Petersen,barbara.petersen.702@gslingacademy.com,female,False,2,True,16,Writer,71,100,99,95,91,96,96,648
702,703,Andrea,Baker,andrea.baker.703@gslingacademy.com,female,False,4,False,2,Unknown,61,66,78,79,79,96,81,540
703,704,Robert,Holmes,robert.holmes.704@gslingacademy.com,male,False,5,True,16,Unknown,87,89,60,66,79,81,65,527
704,705,Autumn,Jones,autumn.jones.705@gslingacademy.com,female,False,0,False,29,Software Engineer,93,69,79,78,77,73,77,546
705,706,Richard,Davis,richard.davis.706@gslingacademy.com,male,False,5,False,35,Accountant,92,88,87,98,96,85,96,642
706,707,Anthony,Armstrong,anthony.armstrong.707@gslingacademy.com,male,False,2,False,11,Banker,96,87,99,65,98,79,93,617
707,708,Julian,Ortiz,julian.ortiz.708@gslingacademy.com,male,False,3,False,4,Artist,83,75,77,61,93,61,75,525
708,709,Melinda,Sanchez,melinda.sanchez.709@gslingacademy.com,female,False,0,False,15,Teacher,78,84,79,96,76,71,71,555
709,710,James,Carter,james.carter.710@gslingacademy.com,male,True,10,False,25,Banker,82,74,84,74,86,81,100,581
710,711,Alejandra,Johns,alejandra.johns.711@gslingacademy.com,female,False,1,False,31,Accountant,94,91,68,61,34,60,63,471
711,712,Susan,Long,susan.long.712@gslingacademy.com,female,False,7,False,30,Doctor,93,73,97,89,88,63,70,573
712,713,Sharon,Allen,sharon.allen.713@gslingacademy.com,female,False,3,False,17,Teacher,80,95,98,95,96,97,85,646
713,714,Leah,Brown,leah.brown.714@gslingacademy.com,female,False,10,False,0,Business Owner,55,99,71,94,69,87,84,559
714,715,Maria,Barker,maria.barker.715@gslingacademy.com,female,True,2,False,10,Government Officer,94,71,83,76,99,95,94,612
715,716,Kelly,Church,kelly.church.716@gslingacademy.com,female,False,2,False,22,Writer,72,72,85,90,75,94,65,553
716,717,Michael,Walsh,michael.walsh.717@gslingacademy.com,male,False,3,False,16,Software Engineer,98,89,75,68,87,69,96,582
717,718,Alyssa,Gallagher,alyssa.gallagher.718@gslingacademy.com,female,False,2,False,11,Unknown,71,98,66,65,78,81,82,541
718,719,Kelly,Morris,kelly.morris.719@gslingacademy.com,female,False,3,False,35,Software Engineer,99,95,89,90,95,98,99,665
719,720,Ryan,Brown,ryan.brown.720@gslingacademy.com,male,False,1,False,25,Stock Investor,97,67,86,95,65,91,76,577
720,721,Maria,Hall,maria.hall.721@gslingacademy.com,female,False,9,False,5,Business Owner,85,64,99,93,89,61,67,558
721,722,Mark,Brown,mark.brown.722@gslingacademy.com,male,False,2,True,35,Unknown,100,88,98,90,93,95,98,662
722,723,William,Kerr,william.kerr.723@gslingacademy.com,male,False,4,False,15,Banker,89,63,73,83,74,91,83,556
723,724,Jake,Gonzalez,jake.gonzalez.724@gslingacademy.com,male,False,4,True,21,Banker,76,87,63,92,93,87,88,586
724,725,Theresa,Gray,theresa.gray.725@gslingacademy.com,female,False,2,False,3,Designer,100,68,80,75,85,82,85,575
725,726,Ashley,Ayers,ashley.ayers.726@gslingacademy.com,female,False,1,False,1,Real Estate Developer,77,99,99,76,70,80,90,591
726,727,Ann,Mccann,ann.mccann.727@gslingacademy.com,female,False,1,False,32,Software Engineer,85,86,84,81,92,84,93,605
727,728,Curtis,Bennett,curtis.bennett.728@gslingacademy.com,male,False,6,True,25,Lawyer,70,83,63,86,97,88,79,566
728,729,Debra,Gutierrez,debra.gutierrez.729@gslingacademy.com,female,False,9,False,26,Lawyer,76,83,90,68,96,94,87,594
